,comment_label,comment_predicted,comment_prob
0,0,0,0.0027791904
1,1,1,0.89858866
2,1,0,0.0059803305
3,0,0,0.0024249144
4,0,0,0.0023781238
5,0,0,0.0025809042
6,0,0,0.00268344
7,1,0,0.075995214
8,0,0,0.015603535
9,0,0,0.0025114634
10,1,1,0.9054896
11,0,0,0.004038592
12,0,0,0.0032224844
13,0,0,0.017712299
14,0,0,0.0024438868
15,0,0,0.002472623
16,0,0,0.0107767265
17,0,0,0.0023413408
18,0,0,0.004451041
19,0,0,0.0023688741
20,0,0,0.0025114634
21,0,0,0.017917344
22,0,0,0.0025016968
23,0,0,0.0946777
24,0,0,0.002434382
25,0,0,0.0071214284
26,0,0,0.009559399
27,1,0,0.17823957
28,0,0,0.0061212815
29,0,0,0.0025409926
30,0,0,0.0029235429
31,0,0,0.0024822769
32,0,0,0.017576884
33,0,0,0.002387409
34,0,0,0.0023781238
35,0,0,0.002491968
36,0,0,0.0033897832
37,0,0,0.026607107
38,0,0,0.0032986512
39,0,0,0.002621441
40,0,0,0.005040703
41,1,1,0.97433734
42,0,0,0.0032224844
43,0,0,0.0029926654
44,0,0,0.003311519
45,0,0,0.16317856
46,0,0,0.009670992
47,0,0,0.063831605
48,1,1,0.97414124
49,0,0,0.004054334
50,0,0,0.002621441
51,0,0,0.0024060889
52,0,0,0.0023413408
53,0,0,0.003524341
54,0,0,0.0123361
55,0,0,0.002472623
56,0,0,0.021532876
57,0,0,0.002693914
58,0,0,0.007345827
59,0,0,0.0025409926
60,1,1,0.9606575
61,0,0,0.0751764
62,0,0,0.021739595
63,0,0,0.002463007
64,0,0,0.055005286
65,1,1,0.7927853
66,1,1,0.9743861
67,0,0,0.0024060889
68,0,0,0.0029694452
69,0,0,0.0030278352
70,0,0,0.0024154831
71,0,0,0.002396731
72,0,0,0.0028671585
73,0,0,0.0024154831
74,0,0,0.0025608707
75,0,0,0.0024438868
76,0,0,0.002387409
77,0,0,0.0065897717
78,1,0,0.0046455576
79,0,0,0.0024534282
80,0,0,0.0030396497
81,1,0,0.009125637
82,0,0,0.0067449897
83,0,0,0.010986943
84,0,0,0.01717671
85,0,0,0.284576
86,0,0,0.0032099616
87,0,0,0.036977556
88,0,0,0.0024154831
89,1,0,0.0973904
90,0,0,0.0023504829
91,1,1,0.9649213
92,0,0,0.0024534282
93,0,0,0.002396731
94,0,0,0.039564554
95,0,0,0.0037362205
96,1,0,0.025809623
97,0,0,0.11940814
98,0,0,0.002434382
99,1,1,0.5666781
100,0,0,0.0024154831
101,0,0,0.0025509123
102,0,0,0.0045032725
103,0,0,0.002570868
104,0,0,0.0023688741
105,0,0,0.002673006
106,1,1,0.96538115
107,0,0,0.0039300853
108,0,0,0.0036358088
109,0,0,0.025613915
110,0,0,0.0030634168
111,0,0,0.073430054
112,0,0,0.0024822769
113,0,0,0.002631674
114,0,0,0.002673006
115,0,0,0.004962942
116,0,0,0.14463143
117,0,0,0.0024534282
118,0,0,0.03296124
119,0,0,0.005641909
120,0,0,0.025371311
121,1,1,0.80240077
122,0,0,0.0031603526
123,1,1,0.97423947
124,0,0,0.002387409
125,1,1,0.9610981
126,0,0,0.008881675
127,0,0,0.002472623
128,1,1,0.95961094
129,0,0,0.0027469008
130,0,0,0.005641909
131,1,1,0.9743861
132,0,0,0.0023781238
133,1,1,0.9744348
134,0,0,0.011687257
135,0,0,0.0031603526
136,0,0,0.002434382
137,0,0,0.0024438868
138,0,0,0.0024249144
139,0,0,0.042166542
140,0,0,0.0028449097
141,0,0,0.0023781238
142,1,1,0.9639839
143,0,0,0.002387409
144,0,0,0.006265534
145,0,0,0.0023413408
146,0,0,0.013273886
147,0,0,0.0024822769
148,0,0,0.002472623
149,0,0,0.0025809042
150,0,0,0.002396731
151,0,0,0.0025608707
152,1,1,0.9637117
153,0,0,0.003135836
154,0,0,0.004468384
155,0,0,0.07263671
156,1,1,0.8818186
157,0,0,0.04401865
158,0,0,0.002396731
159,0,0,0.002396731
160,0,0,0.0024249144
161,0,0,0.0024154831
162,0,0,0.0023596608
163,0,0,0.0035657366
164,0,0,0.004591684
165,0,0,0.0029579026
166,1,0,0.0065897717
167,0,0,0.0026010936
168,1,1,0.9744834
169,0,0,0.1422319
170,0,0,0.022629201
171,0,0,0.0024534282
172,0,0,0.0024060889
173,0,0,0.18535663
174,1,1,0.95791227
175,1,1,0.91550726
176,0,0,0.007093862
177,1,1,0.87557435
178,1,1,0.97409195
179,1,1,0.9730877
180,0,0,0.0023504829
181,0,0,0.0032986512
182,0,0,0.011687257
183,0,0,0.00502115
184,0,0,0.002387409
185,0,0,0.0075772414
186,1,1,0.9014011
187,0,0,0.002434382
188,0,0,0.002631674
189,0,1,0.96995664
190,0,0,0.0024154831
191,0,0,0.002396731
192,1,1,0.97433734
193,0,0,0.0030160663
194,0,0,0.002521268
195,0,0,0.0066153924
196,0,0,0.013273886
197,0,0,0.0031115087
198,0,0,0.0026419468
199,0,0,0.0023781238
200,0,0,0.043123372
201,0,0,0.23528406
202,0,0,0.0024249144
203,1,1,0.91212356
204,0,0,0.002800927
205,0,0,0.02920129
206,0,0,0.013222822
207,0,0,0.0025016968
208,0,0,0.002631674
209,1,1,0.9735945
210,0,0,0.019160708
211,0,1,0.7801604
212,1,1,0.97112906
213,0,0,0.002434382
214,0,0,0.002822833
